#ejercicio,Org.,Prog.,Econ.,Denominación (CASTELLANO),Vinc. Org.,Vinc. Fun.,Vinc. Eco.,Créditos Iniciales,Modificaciones de Crédito,Créditos Definitivos,Obligaciones Reconocidas
2015,02   ,338  ,48901  ,AT2 (ACC TRANSV TRANSF SOC) FESTIVAL ESPERANZHA   ,02,338  ,489   ,0,12000,12000,0
2015,03   ,324  ,789    ,TRANSF CAPITAL IES RIBERA BAIXA                   ,03,324  ,789   ,0,30000,30000,30000
2015,16   ,172  ,609    ,JUNCALES CAL TET  Y TRASLADO PUENTE CAL NYEPA       ,16,172  ,609   ,0,21000,21000,19355.16
2015,07   ,161  ,821201 ,PRÉSTAMO LARGO PLAZO AIGÜES DEL PRAT SA,07,161  ,82120 ,0,3595317.81,3595317.81,3595317.81
2015,16   ,171  ,609    ,"URB ESPACIO PUB FONDO PEIXO, PISTAS SKATE J RIBERA",16,171  ,609   ,0,1284000,1284000,379030.08
2015,10   ,241  ,48901  ,SUBVENCIÓN ASSOCIACIÓ TREBALLADOR DE VALEO,10,241  ,48901 ,0,2000,2000,0
2015,16   ,161  ,619    ,MEJORAS ALCANTARILLADO PUNTOS CONFLICTIVOS,16,161  ,619   ,0,170000,170000,167870.87
2015,02   ,338  ,489    ,G.A.T.S. FESTIVAL ESPERANZHA,02,338  ,489   ,0,8000,8000,0
2015,09   ,2317 ,789    ,TRANFERÉNCIAS CAPITAL DISPRAT LLEURE,09,2317 ,789   ,0,43958.78,43958.78,27958.78
2015,14   ,231  ,464    ,AMB URGÉNCIA SOCIAL,14,231  ,464   ,0,16800,16800,6503.52
2015,11   ,312  ,789    ,TRANSF CAPITAL ASSOC FAMILIARS ALZHEIMER      ,11,312  ,789   ,0,94000,94000,93936.94
2015,07   ,133  ,82120  ,PRÉSTAMO LARGO PLAZO PRAT ESPAIS,07,133  ,82120 ,0,2089351.5,2089351.5,2089351.5
2015,16   ,1531 ,609    ,ROTONDA ENTRADA PRAT DE CTRA CA L'ALAIO ,16,1531 ,609   ,0,520000,520000,41.74
2015,16   ,133  ,609    ,PLATAFORMAS BUS Y MEJORA MARQUESINAS,16,133  ,609   ,0,68000,68000,68000
2015,14   ,2311 ,227995 ,SERVICIO PRELABORAL,14,23   ,22    ,0,52000,52000,2241.86
2015,07   ,920  ,227991 ,PRESTACIÓN SERVICIOS PROMOCIÓN DE LA CIUDAD,07,92   ,22    ,0,28000,28000,27999.99
2015,03   ,3232 ,13001  ,HORAS EXTRAORDINÁRIAS PERSONAL LABORAL FIJO,  ,3    ,1     ,852,0,852,903.48
2015,03   ,3232 ,13199  ,RETRIBUCIONES PERSONAL LABORAL TEMPORAL-SUPLENCIAS,  ,3    ,1     ,16169,0,16169,31559.36
2015,03   ,3232 ,16000  ,CUOTAS SEGURIDAD SOCIAL,  ,3    ,1     ,101674,0,101674,92537.13
2015,03   ,3232 ,212    ,ESCUELAS-CONSERVACIÓN Y REPARACIÓN,03,32   ,21    ,652200,0,652200,628049.35
2015,03   ,3232 ,221002 ,SUBM. ENERGÍA ELÉCTRICA ESCUELAS,03,32   ,22    ,216399,0,216399,172530.26
2015,03   ,3232 ,221012 ,CONSUMO AGUA ESCUELAS ,03,32   ,22    ,40704,0,40704,53329.49
2015,03   ,3232 ,221022 ,ESCUELAS-SUBM. GAS,03,32   ,22    ,199500,0,199500,135456.12
